name,working_bytes,parsing_time_ms,coo_time_us,coo_gflops,coo_parallel_time_us,coo_parallel_gflops,coo_cuda_basic_time_us,coo_cuda_basic_gflops,coo_cuda_custom_1_time_us,coo_cuda_custom_1_gflops,coo_cuda_cuSparse_time_us,coo_cuda_cuSparse_gflops,coo_to_csr_time_us,csr_time_us,csr_gflops,csr_parallel_time_us,csr_parallel_gflops,csr_cuda_basic_time_us,csr_cuda_basic_gflops,csr_cuda_custom_1_time_us,csr_cuda_custom_1_gflops,csr_cuda_custom_2_time_us,csr_cuda_custom_2_gflops,csr_custom_2_setup_time_us ,csr_cuda_cuSparse_time_us,csr_cuda_cuSparse_gflops,total_time_ms
ASIC_680ks.mtx,33411808,732.566042,2978.8611,1.563803,3981.5111,1.169996,112.332801,41.469206,66.9696,69.559203,55.3984,84.088205,7977.595,2729.495,1.706672,598.2256,7.786949,88.576,52.591582,482.099205,9.662642,123.391997,37.752465,655.488037,53.8624,86.486158,1275.121429
FullChip.mtx,343359976,8692.881914,42398.2565,1.255806,49498.5651,1.075667,14372.86396,3.70448,956.006396,55.694167,518.041611,102.77935,79285.769,30438.9971,1.749203,12481.9558,4.265676,198065.2557,0.26882,9354.137611,5.692024,607.027197,87.712676,1205.855957,360.0384,147.88417,13535.55267
Ga41As41H72.mtx,224006480,4154.346846,38265.4006,0.966329,31025.3085,1.191832,3123.814416,11.837115,391.168001,94.529593,294.502395,125.55739,62264.227,18833.5338,1.963357,4365.5159,8.470236,472.780797,78.21162,293.888003,125.819876,231.014401,160.063407,459.807983,199.679995,185.181055,5719.952743
Si41Ge41H72.mtx,181620292,3384.539203,31839.6848,0.942928,25068.3637,1.197626,2884.198403,10.409315,309.145594,97.114533,240.128,125.027194,51339.393,15493.0512,1.937806,3477.3376,8.633769,397.209597,75.583597,222.105595,135.172326,186.060801,161.358705,349.824005,160.972796,186.506855,4713.983983
StocF-1465.mtx,263785764,4585.832593,27836.3902,1.509204,35448.3581,1.185126,1294.950378,32.441998,460.595205,91.20976,372.735998,112.709205,61040.669,18695.8906,2.247059,4376.3427,9.599517,350.822395,119.749419,968.908787,43.358857,382.566395,109.813038,665.055969,262.041599,160.321026,6108.217625
bone010.mtx,867889524,13212.82272,135837.7413,1.055175,120216.8766,1.192284,12045.2095,11.899556,1645.567989,87.102235,1065.472007,134.525027,237143.585,63266.1201,2.265551,13299.9258,10.776951,1349.836826,106.185168,1076.531172,133.143056,818.892777,175.032256,635.616028,695.296001,206.146231,18113.11758
boyd2.mtx,21735292,219.809016,1860.6163,1.612796,2556.4299,1.173822,427.110401,7.025804,39.833599,75.333239,31.334399,95.766763,5744.741,1334.4138,2.248773,450.7165,6.65783,6090.137577,0.49273,431.820801,6.949165,53.452799,56.139136,476,27.8528,107.737607,596.782109
ldoor.mtx,565887324,9605.210549,84414.4972,1.102239,78771.3308,1.181203,5958.860779,15.614553,953.4464,97.588024,730.828804,127.31429,151307.15,42244.7339,2.202522,9196.805,10.117095,963.072002,96.612662,921.292788,100.993898,584.601581,159.159593,656.799988,490.393603,189.735244,12877.08956
mc2depi.mtx,29409300,474.238992,2230.4144,1.88326,3467.1211,1.211509,50.380798,83.374026,52.326399,80.274012,39.014398,107.664098,6934.276,1568.1367,2.678625,419.2337,10.019352,35.225601,119.24424,281.292796,14.932661,58.982401,71.21531,572,39.3216,106.822969,797.671745
rajat31.mtx,281315052,6314.727402,24671.547,1.646938,34502.5219,1.177668,651.05921,62.409847,519.475204,78.218374,452.8128,89.733563,55484.001,20103.9023,2.021125,5359.8264,7.580937,353.280002,115.015019,3389.542437,11.987608,666.931212,60.924583,885.536011,350.515205,115.922235,7937.703693
webbase-1M.mtx,45266472,846.464266,4691.9164,1.323781,5236.1828,1.186183,314.368001,19.757329,87.04,71.358824,78.438397,79.184076,10648.043,4127.7036,1.504728,1372.5836,4.525096,614.092797,10.114224,672.358394,9.23774,146.841601,42.297768,655.07196,62.771199,98.947799,1349.070511
